stationid,county,recordtype,startdate,stationname,areatype,noisetype,address,status,enddate,endreason,sideroad,sideroadwidth,longitude,latitude
0604620TN002,桃園市,人工,1090515,台茂公園,第三類,道路交通噪音,桃園市蘆竹區錦溪路119號,使用中,,,,10,25.054275,121.289548
0604620TN001,桃園市,人工,920501,南崁路南崁橋附近,第三類,道路交通噪音,蘆竹鄉南崁路一段381號,使用中,,其土地區分為河川區兼供道路使用，屬第四類管制區，因第四類已滿，故停用,南崁路,22,121.280994,25.055901
0604620EN002,桃園市,人工,920501,黃帝廟,第三類,一般地區環境音量,蘆竹鄉山腳村5鄰51號,使用中,,,黃帝街,6,121.29477,25.090069
0604520TN006,桃園市,人工,920501,水美國小,第二類,道路交通噪音,楊梅鎮楊新路2段2號,使用中,,,楊新路,12,121.138043,24.918861
0604420TN002,桃園市,人工,920501,石門水庫,第一類,道路交通噪音,大溪鎮康莊路五段,使用中,,,康莊路,12.5,121.257321,24.821948
0604420EN004,桃園市,人工,930501,溪洲公園,第一類,一般地區環境音量,大溪鎮復興里環湖路1號,使用中,,,環湖公路,,121.247871,24.81197
0604420EN002,桃園市,人工,930501,大溪中正公園,第三類,一般地區環境音量,大溪鎮普濟路中正公園,使用中,,,普濟路,6,121.284878,24.883254
0604320TN006,桃園市,人工,1090515,中壢藝術園區,第三類,道路交通噪音,桃園市中壢區南園二路86號(中福派出所)旁,使用中,,,,18,24.97173,121.233283
0604320TN005,桃園市,人工,1090515,過嶺兒童公園,第三類,道路交通噪音,,使用中,,桃園市中壢區松智一街與松智路岔路口,,11,24.959618,121.173664
0604320TN004,桃園市,人工,950918,啟英工家前中園路,第一類,道路交通噪音,中壢市中園路447號,使用中,,為丁種建築用地，因第四類已額滿，故停用,中園路,30,121.235947,24.975249
0604320EN002,桃園市,人工,1090515,青埔兒十公園,第三類,一般地區環境音量,桃園市中壢區洽溪路青埔兒十公園,使用中,,,,,25.010962,121.20898
0604320EN001,桃園市,人工,950918,中壢工業區服務中心,第一類,一般地區環境音量,中壢市東園路57號,使用中,,,東園路,16,121.239184,24.978973
0604220TN005,桃園市,人工,1090515,桃園火車站,第一類,道路交通噪音,桃園縣桃園市中正路1號(桃園火車站前圓環內),使用中,,,中正路,12,121.313398,24.989535
0604220TN004,桃園市,人工,950918,桃園火車站,第三類,道路交通噪音,桃園縣桃園市中正路1號(桃園火車站前圓環內),使用中,,原判定土地使用區分為車站專用區，屬第三類。經重新檢視比對108年度公告，此應為第四類管制區。,中正路,12,121.313398,24.989535
0604220EN005,桃園市,人工,950918,虎頭山公園,第三類,一般地區環境音量,桃園市公園路42號,使用中,,,公園路,6,121.327627,25.002239
0604220EN002,桃園市,人工,950918,龜山工業區服務中心,第一類,一般地區環境音量,桃園市大誠路9號,使用中,,,大誠路,12,121.322209,24.983493
0503820EN004,宜蘭縣,人工,1030322,五結鄉公所,第三類,一般地區環境音量,五結鄉五結路一號,使用中,,,五結鄉五結路,8,121.798735,24.684775
0503220TN001,宜蘭縣,人工,1030104,龍德工業區服務中心,第一類,道路交通噪音,蘇澳鎮自強路十二號,使用中,,,蘇澳鎮自強路,16,121.829267,24.633775
0503220EN007,宜蘭縣,人工,1030106,龍德工業區廢水處理廠,第一類,一般地區環境音量,冬山鄉德興十一路一號,使用中,,,冬山鄉德興十一路,8,121.8134239,24.636785
0503120EN003,宜蘭縣,人工,1030325,羅東鎮運動公園,第三類,一般地區環境音量,羅東鎮公正路六六六號,使用中,,,羅東鎮四維路,6,121.75422,24.684463
0503020TN005,宜蘭縣,人工,1030220,中山公園,第三類,道路交通噪音,宜蘭市舊城南路,使用中,,,舊城南路,16,121.753553,24.754253
0503020TN004,宜蘭縣,人工,1030317,縣立文化中心,第二類,道路交通噪音,宜蘭市復興路二段一0一號,使用中,,,農權路一段,8,121.743646,24.748511
0503020TN003,宜蘭縣,人工,1030314,地政大樓,第三類,道路交通噪音,宜蘭市泰山路六十六之五號,使用中,,,宜蘭市泰山路,12,121.745965,24.754419
0503020TN002,宜蘭縣,人工,1030118,中山國小,第二類,道路交通噪音,宜蘭市崇聖街四號,使用中,,,和睦路,8,121.75592,24.753394
0503020EN004,宜蘭縣,人工,1030225,縣立孔子廟,第二類,一般地區環境音量,宜蘭市宜興路一七0號,使用中,,,宜蘭市宜興路,8,121.755849,24.76217
0503020EN002,宜蘭縣,人工,1030111,宜蘭醫院,第二類,一般地區環境音量,宜蘭市新民路一五二號,使用中,,,宜蘭市新民路,6,121.754965,24.757893
0402726TN001,新北市,自動,1000915,金山國家公園,第一類,道路交通噪音,新北市金山區陽明山國家公園界碑前,使用中,,,,8,121.547756,25.155822
0402720EN001,新北市,人工,850701,金山國家公園,第一類,一般地區環境音量,金山區三重橋11號邊,使用中,,,陽金公路,10,121.592954,25.193833
0402620EN001,新北市,人工,1000609,貢寮鄉衛生所,第三類,一般地區環境音量,新北市貢寮區朝陽街70巷10號,使用中,,,,8,121.909634,25.022545
0402420EN001,新北市,人工,1000609,平溪鄉平溪街,第二類,一般地區環境音量,新北市平溪區平溪街,使用中,,,,5,121.736932,25.02725
0402320TN001,新北市,人工,1000609,八里中華路,第三類,道路交通噪音,新北市八里區中華路,使用中,,,,12,121.400878,25.146052
0402120EN001,新北市,人工,1000609,大屯自然公園,第一類,一般地區環境音量,新北市三芝區新華村,使用中,,,,15,121.522779,25.187544
0401720EN001,新北市,人工,790601,林口竹林山寺,第二類,一般地區環境音量,林口區竹林路323號,使用中,,,竹林路,10,121.389844,25.08298
0401520EN001,新北市,人工,890301,五股污水處理廠,第一類,一般地區環境音量,五股區五工六路77號,使用中,,,五工六路,12,121.446717,25.068783
0401320TN003,新北市,人工,1020422,土城忠承路,第一類,道路交通噪音,,使用中,,,,10,121.440186,24.966698
0401220TN001,新北市,人工,890301,瑞芳坑子內路,第二類,道路交通噪音,瑞芳區坑子內路1之1號旁,使用中,,,魚坑路,8,121.793704,25.10677
0401120EN002,新北市,人工,1000807,伴吾社區,第二類,一般地區環境音量,新北市新店區安祥路106巷1號,使用中,,,,12,121.478743,24.962395
0401120EN001,新北市,人工,930101,汐止長青路,第二類,一般地區環境音量,汐止區長青路210巷6弄30號前,使用中,,,長青路,7,121.613975,25.111521
0401020TN004,新北市,人工,1000609,淡水沙崙路,第二類,道路交通噪音,新北市淡水區沙崙路,使用中,,,,8,121.422014,25.181913
0401020TN003,新北市,人工,1000609,淡水巴拉卡公路,第一類,道路交通噪音,新北市淡水區巴拉卡公路,使用中,,,,6,121.511428,25.184418
0401020EN002,新北市,人工,970101,淡水休閒農場,第三類,一般地區環境音量,淡水鎮民權路12-3巷1號,使用中,,,民權路,26,121.459308,25.138447
0400920TN001,新北市,人工,1000609,三峽大德路,第二類,道路交通噪音,新北市三峽區大德路,使用中,,,,12,121.376824,24.943982
0400720TN001,新北市,人工,970601,樹林中正路,第一類,道路交通噪音,新北市樹林區中正路,使用中,,,,16,121.42019,25.005768
0400620EN004,新北市,人工,790601,新莊化成路,第一類,一般地區環境音量,新莊區化成路746巷55號旁,使用中,,,化成路,6,121.466791,25.058729
0400420EN001,新北市,人工,1000609,四號公園,第三類,一般地區環境音量,新北市中和區中安街旁,使用中,,,,8,121.513767,25.003581
0400320EN001,新北市,人工,1000609,仁愛公園,第三類,一般地區環境音量,新北市永和區仁愛路244號,使用中,,,,8,121.506965,25.011515
0400220TN001,新北市,人工,1000609,三重三民街,第三類,道路交通噪音,新北市三重區三民公園旁,使用中,,,,18,121.482802,25.065283
0400126TN001,新北市,自動,1050101,板橋地政事務所,第三類,道路交通噪音,板橋區實踐路1號,使用中,,,,15,121.274851,25.002992
0400120TN004,新北市,人工,1020422,板橋陽明街,第二類,道路交通噪音,板橋陽明街,使用中,,,,10,121.462841,25.025134
0400120TN002,新北市,人工,810701,板橋永豐街,第三類,道路交通噪音,板橋市永豐街55巷62號對面華江公園內,使用中,,,縣民大道,20,121.471831,25.019198
0400120EN004,新北市,人工,930101,板橋中正路,第三類,一般地區環境音量,板橋區中正路370號對面玫瑰公園內,使用中,,,中正路,15,121.455754,25.023488
