stationid,county,recordtype,startdate,stationname,areatype,noisetype,address,status,enddate,endreason,sideroad,sideroadwidth,longitude,latitude
1829120TN001,花蓮縣,人工,1040304,花蓮市中山路五四九號,第三類,道路交通噪音,花蓮市中山路五四九之一號,使用中,,,中山路,8,121.601363,23.987042
1727520TN013,臺東縣,人工,1130115,台東大學知本校區,第二類,道路交通噪音,台東縣台東市西康路二段369號,使用中,,,,15,121.149027,22.757588
1727520TN012,臺東縣,人工,1121124,台東縣議會,第三類,道路交通噪音,台東市中興路二段727號,使用中,,,"連航路,民航路",14,121.11989,22.7685
1727520TN011,臺東縣,人工,1110607,海巡署東部分署,第二類,道路交通噪音,臺東縣臺東市興安路二段546號,使用中,,,,10,121.12646,22.80435
1727520TN010,臺東縣,人工,1050831,台東美術館,第一類,道路交通噪音,,使用中,,,浙江路,17.4,121.0925091,22.7644
1727520TN006,臺東縣,人工,960507,台糖,第一類,道路交通噪音,台東市中興路二段191號,使用中,,,新生路,20,121.129326,22.767387
1727520TN005,臺東縣,人工,960507,南區環管中心台東辦公室,第三類,道路交通噪音,台東市博愛路119號,使用中,,,"四維路,仁德街",15,121.09102,22.45606
1727520EN013,臺東縣,人工,1130115,台東大學知本校區,第二類,一般地區環境音量,台東縣台東市西康路二段369號,使用中,,,,15,121.148863,22.757786
1727520EN012,臺東縣,人工,1121124,台東縣議會,第三類,一般地區環境音量,台東市中興路二段727號,使用中,,,"民航路,連航路",14,121.11989,22.7685
1727520EN011,臺東縣,人工,1110607,海巡署東部分署,第二類,一般地區環境音量,臺東縣臺東市興安路二段546號,使用中,,,,,121.12646,22.80435
1727520EN010,臺東縣,人工,1050831,台東美術館,第一類,一般地區環境音量,台東市浙江路350號,使用中,,,四維路二段及開封街,,121.0925091,22.7644
1727520EN006,臺東縣,人工,960507,台糖,第一類,一般地區環境音量,台東市中興路二段191號,使用中,,,新生路,20,121.07713,22.46014
1727520EN005,臺東縣,人工,960507,南區環管中心台東辦公室,第三類,一般地區環境音量,台東市博愛路119號,使用中,,,四維路三段,15,121.09102,22.45606
1627020TN002,屏東縣,人工,1020904,泰武鄉公所,第二類,道路交通噪音,屏東縣泰武鄉佳平村169號,使用中,,,佳平村,10,120.631814,22.591626
1626720EN002,屏東縣,人工,1020904,三地門鄉公所,第二類,一般地區環境音量,屏東縣三地門鄉三地村中正路2段100號,使用中,,,,10,120.654339,22.716281
1625920TN004,屏東縣,人工,1020923,崁頂鄉公所,第三類,道路交通噪音,屏東縣崁頂鄉中正路230號,使用中,,,,10,120.513711,22.514747
1625420TN006,屏東縣,人工,1020910,內埔工業區,第一類,道路交通噪音,屏東縣內埔鄉豐田村建國路4號,使用中,,,中正路,20,120.541112,22.637877
1624920TN005,屏東縣,人工,1020910,九如鄉民代表會,第三類,道路交通噪音,屏東縣九如鄉九如路二段416號,使用中,,,九如二段,20,120.490124,22.740288
1624820TN003,屏東縣,人工,1020916,麟洛鄉公所,第二類,道路交通噪音,屏東縣麟洛鄉麟蹄村中山路158號,使用中,,,中山路,20,120.527122,22.650591
1624520TN001,屏東縣,人工,1020927,墾丁公園警察隊,第一類,道路交通噪音,屏東縣恆春鎮墾丁路272號,使用中,,,墾丁路,20,120.796351,21.94617
1624520EN007,屏東縣,人工,1020927,墾丁公園國家管理處,第一類,一般地區環境音量,屏東縣恆春鎮墾丁路596號,使用中,,,,20,120.780682,21.949832
1624320EN005,屏東縣,人工,1020902,潮州社區活動中心,第三類,一般地區環境音量,屏東縣潮州三和里中興路57號,使用中,,,,6,120.539106,22.555327
1624320EN003,屏東縣,人工,1020902,潮和國小,第二類,一般地區環境音量,屏東縣潮州鎮三和里華嚴街一號,使用中,,,,8,120.537422,22.557012
1624223TN002,屏東縣,自動,1020701,國立屏東女中,第三類,道路交通噪音,屏東市仁愛路94號,使用中,,,仁愛路,20,120.493589,22.674441
1624223TN001,屏東縣,自動,1020701,唐榮國小,第三類,道路交通噪音,屏東市中山路41號,使用中,,,中山路,20,120.486063,22.671922
1624220EN008,屏東縣,人工,1100809,屏東縣政府環境保護局,第三類,一般地區環境音量,屏東市北興街56號,使用中,,,,10,120.495002,22.688605
1624220EN006,屏東縣,人工,1020916,屏東工業區,第一類,一般地區環境音量,屏東市工業路五號,使用中,,,,20,120.499045,22.663136
1318320TN004,嘉義縣,人工,,嘉義縣衛生人員訓練中心,第一類,道路交通噪音,嘉義縣阿里山鄉中山村南阿里山58號,使用中,,,,10,120.802424,23.509504
1318320EN002,嘉義縣,人工,,天主教福若瑟服務中心,第一類,一般地區環境音量,嘉義縣阿里山鄉中山村南阿里山57號,使用中,,,,10,120.802263,23.509298
1317620TN003,嘉義縣,人工,,嘉太工業區服務中心,第一類,道路交通噪音,嘉義縣嘉太工業區中興路1號,使用中,,,嘉北公路,15,120.362864,23.508983
1317620EN003,嘉義縣,人工,,嘉太工業區污水處理廠,第一類,一般地區環境音量,嘉義縣太保市嘉太工業區中興路二一號,使用中,,,,10,120.356019,23.50912
1317220TN003,嘉義縣,人工,,六腳鄉公所,第三類,道路交通噪音,嘉義縣六角鄉蒜頭村蒜頭73號,使用中,,,嘉50線,10,120.290138,23.494367
1317220TN002,嘉義縣,人工,,溪厝村辦公室,第二類,道路交通噪音,嘉義縣六腳鄉溪厝村溪墘厝77-1號,使用中,,,嘉50線,10,120.269383,23.494598
1317220TN001,嘉義縣,人工,,灣南村辦公處,第二類,道路交通噪音,嘉義縣六腳鄉灣南村11鄰145號,使用中,,,嘉56線,13,120.308447,23.497875
1317220EN002,嘉義縣,人工,,正義村辦公處,第二類,一般地區環境音量,嘉義縣六腳鄉正義村中溝7號,使用中,,,,10,120.246225,23.477865
1317220EN001,嘉義縣,人工,,雙涵村活動中心,第二類,一般地區環境音量,嘉義縣六腳村雙涵村4鄰34號,使用中,,,,7,120.301087,23.513523
1316926TN001,嘉義縣,人工,,民雄工業區測站,第一類,道路交通噪音,民雄工業區中山路與台一線交叉口,使用中,,,中山路,15,120.44054,23.520473
1316620TN002,嘉義縣,人工,1020325,竹圍里集會所,第三類,道路交通噪音,嘉義縣朴子市四維路2段78號,使用中,,,四維路,29,120.241027,23.459054
1316620EN005,嘉義縣,人工,1020306,梅嶺美術館,第三類,一般地區環境音量,嘉義縣朴子市安福里山通路2-9號,使用中,,,,7,120.252764,23.467045
